"waterYear","month","deposition_name","deposition_kg_per_ha_impute"
2019,"August","NO3-N",0.08123544236
2019,"August","SO4-S",0.0334957041
2019,"August","cations",0.0498864
2019,"July","Inorganic N",0.218547055625
2019,"July","NH4-N",0.12996626585334
2019,"July","NO3-N",0.088347577836
2019,"July","SO4-S",0.06128624907
2019,"July","cations",0.107707145
2019,"June","Inorganic N",0.30837831157
2019,"June","NH4-N",0.191727473385
2019,"June","NO3-N",0.11655887511
2019,"June","SO4-S",0.078911011665
2019,"June","cations",0.204690635
2020,"August","Inorganic N",0.045408088
2020,"August","NH4-N",0.02922082548
2020,"August","NO3-N",0.01617185488
2020,"August","SO4-S",0.01377164124
2020,"August","cations",0.0575056
2020,"July","Inorganic N",0.29672052924
2020,"July","NH4-N",0.20680256511642
2020,"July","NO3-N",0.0884477445164
2020,"July","SO4-S",0.03763222344
2020,"July","cations",0.06023864
2020,"June","Inorganic N",0.24143195554
2020,"June","NH4-N",0.16336900524
2020,"June","NO3-N",0.0779661128
2020,"June","SO4-S",0.06546900546
2020,"June","cations",0.27425904
2021,"August","Inorganic N",0.3511688557
2021,"August","NH4-N",0.23033454822
2021,"August","NO3-N",0.12070740908
2021,"August","SO4-S",0.06484140702
2021,"August","cations",0.18882868
2021,"July","Inorganic N",0.3523826328
2021,"July","NH4-N",0.241031943894
2021,"July","NO3-N",0.1111798720264
2021,"July","SO4-S",0.06151775733
2021,"July","cations",0.18247106
2021,"June","Inorganic N",0.34061700482
2021,"June","NH4-N",0.22990122504804
2021,"June","NO3-N",0.10980966323012
2021,"June","SO4-S",0.07655460432
2021,"June","cations",0.254399626666667
2022,"August","Inorganic N",0.35878658748
2022,"August","NH4-N",0.23869148326632
2022,"August","NO3-N",0.1191901524752
2022,"August","SO4-S",0.0586449297
2022,"August","cations",0.13178536
2022,"July","Inorganic N",0.22590403384
2022,"July","NH4-N",0.13482906486
2022,"July","NO3-N",0.09101806028
2022,"July","SO4-S",0.04803665526
2022,"July","cations",0.14175994
2022,"June","Inorganic N",0.20960022342
2022,"June","NH4-N",0.13047206334288
2022,"June","NO3-N",0.07852130477064
2022,"June","SO4-S",0.08729835093
2022,"June","cations",1.03480362
NA,"August","Inorganic N",0.0694278153816667
NA,"August","NH4-N",0.035379145862725
NA,"August","NO3-N",0.0340850569108889
NA,"August","SO4-S",0
NA,"August","cations",0
NA,"July","Inorganic N",0.34455243952
NA,"July","NH4-N",0.19880891510697
NA,"July","NO3-N",0.14310574137
NA,"July","SO4-S",0
NA,"July","cations",0
NA,"June","Inorganic N",0.28999739689
NA,"June","NH4-N",0.13956820968573
NA,"June","NO3-N",0.14926826240268
NA,"June","SO4-S",0
NA,"June","cations",0
