siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NC9495OW,1/8/85 19:00,1/15/85 18:30,198501,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,90.9,8.89,8.89,  ,c           ,9/16/85
CO98,NC9997OW,1/15/85 18:30,1/22/85 18:00,198501,5.25,4.3, ,0.08, ,0.027, ,0.033, ,0.078,<,0.02, ,0.38, ,0.09, ,0.54,659.8,41.66,41.66,w ,            ,9/16/85
CO98,ND0034OW,1/22/85 18:00,1/29/85 18:00,198501,5.56,5.9, ,0.2, ,0.095, ,0.015, ,0.151,<,0.02, ,0.69, ,0.19, ,0.69,60,7.62,7.62,w ,            ,10/18/85
CO98,ND0096OW,1/29/85 18:00,2/5/85 18:00,198502,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,33.4,21.59,21.59,  ,vf          ,10/18/85
CO98,ND0479OW,2/5/85 18:00,2/12/85 18:00,198502,5.35,4.9, ,0.33, ,0.051, ,0.023, ,0.122,<,0.02, ,0.07, ,0.12, ,0.28,417.6,26.67,26.67,w ,            ,9/9/88
CO98,ND0464OW,2/12/85 18:00,2/19/85 18:00,198502,5.63,5.4, ,0.14, ,0.031, ,0.036, ,0.073,<,0.02, ,0.41, ,0.18, ,0.75,45.6,7.37,7.37,w ,            ,10/18/85
CO98,ND0691OW,2/19/85 18:00,2/26/85 18:00,198502,5.24,3.9, ,0.05, ,0.007, ,0.004, ,0.02,<,0.02, ,0.34, ,0.05, ,0.29,978.7,22.86,22.86,w ,            ,10/18/85
CO98,ND0894OW,2/26/85 18:00,3/5/85 18:00,198503,5.73,5.3, ,0.39, ,0.047, ,0.017, ,0.097,<,0.02, ,0.6, ,0.08, ,0.67,222.1,24.64,24.64,w ,            ,12/16/85
CO98,ND0997OW,3/5/85 18:00,3/12/85 17:00,198503,6.08,5.3, ,0.53, ,0.057, ,0.02, ,0.08,<,0.02, ,0.58, ,0.09, ,0.74,415.4,25.4,25.4,w ,            ,12/16/85
CO98,ND1271OW,3/12/85 17:00,3/19/85 18:00,198503,5.31,8.8, ,0.26, ,0.032, ,0.024, ,0.05, ,0.37, ,1.46, ,0.09, ,1.04,-9,16.26,16.26,w ,            ,12/16/85
CO98,ND1416OW,3/19/85 18:00,3/26/85 18:00,198503,6.06,20.9, ,1.63, ,0.18, ,0.107, ,0.373, ,0.67, ,3.52, ,0.44, ,2.86,87.7,16,16,w ,            ,12/16/85
